Rank,Name,Company,Annual.pay,Age
424,Thomas A Fanning,Southern Co,2.815,55
425,Phil Rykhoek,Denbury Resources,2.815,54
426,Nicholas K Akins,American Electric Power,2.816,52
427,Margaret C Whitman,Hewlett-Packard,2.77,55
428,Anthony F Earley,PG&E,2.75,63
428,John P Jumper,SAIC,2.75,67
430,Michael D Fraizer,Genworth Financial,2.725,53
431,Steven A Kandarian,MetLife,2.695,60
432,Bryan G Stockton,Mattel,2.655,59
433,Robert W Pittman,CC Media Holdings,2.65,58
434,Rakesh Sachdev,Sigma-Aldrich,2.6,56
435,Rory P Read,Advanced Micro Devices,2.56,50
436,W Matt Ralls,Rowan Cos,2.525,61
437,James J O'Brien,Ashland,2.51,57
438,David W Crane,NRG Energy,2.5,53
439,Thomas R Voss,Ameren,2.48,64
440,Debra L Reed,Sempra Energy,2.445,56
441,Neal L Patterson,Cerner,2.395,62
442,Stanley A Lybarger,BOK Financial,2.33,62
443,Craig L Martin,Jacobs Engineering Group,2.32,61
444,David H Hannah,Reliance Steel & Aluminum,2.325,60
445,Jeffery W Yabuki,Fiserv,2.305,52
446,Gary C Kelly,Southwest Airlines,2.29,57
447,Brian T Moynihan,Bank of America,2.265,52
448,Kevin B Marsh,Scana,2.245,56
449,Jack A Fusco,Calpine,2.245,49
450,John G Russell,CMS Energy,2.195,54
451,Robert C Skaggs Jr,NiSource,2.185,57
452,Brian J Dunn,Best Buy,2.14,52
453,Alain Monie,Ingram Micro,2.13,61
454,Edward J Bonach,CNO Financial,2.076,58
455,Luther C Kissam IV,Albemarle,2.075,48
456,John R Koelmel,First Niagara Financial Group,2.07,58
457,Craig Herkert,Supervalu,2.02,52
458,William J DeLaney,Sysco,2.01,56
459,Louis J D'Ambrosio,Sears Holdings,2,48
460,Thomas M Rutledge,Charter Communications,2,59
460,Scott Thompson,Yahoo,2,54
462,Daniel S Fulton,Weyerhaeuser,1.93,63
463,Brian P MacDonald,Sunoco,1.896,46
464,W Douglas Parker,US Airways Group,1.825,50
465,Marc R Benioff,Salesforce.com,1.805,47
466,Moshe Gavrielov,Xilinx,1.77,57
467,Denise L Ramos,ITT,1.735,55
468,Daniel F Akerson,General Motors,1.7,63
469,Beth E Mooney,KeyCorp,1.695,56
470,Jeffrey P Bezos,Amazon.com,1.685,48
471,Marcel H M Smits,Sara Lee,1.67,50
472,Paul Maritz,VMware,1.645,57
473,Richard L Carrion,Popular,1.61,59
474,Ian M Cumming,Leucadia National,1.605,71
475,Alan S Armstrong,Williams Cos,1.485,50
476,William H Kucheman,Boston Scientific,1.466,62
477,Martin Mucci,Paychex,1.45,52
478,Steven J Johnston,Cincinnati Financial,1.44,52
479,Steven A Ballmer,Microsoft,1.38,56
480,Thomas Peterffy,Interactive Brokers Group,1.35,67
481,John T Standley,Rite Aid,1.32,58
482,Thomas W Horton,AMR,1.256,51
483,Curt R Hartman,Stryker,1.236,48
484,Thomas M Marra,Symetra Financial,1.19,53
485,Harris H Simmons,Zions Bancorporation,1.175,57
486,Wendy C Waugaman,American Equity Investment Life Holding,0.915,51
487,Joseph P Clayton,DISH Network,0.9,62
488,Gary S Guthart,Intuitive Surgical,0.86,46
489,Michael C Jennings,HollyFrontier,0.78,46
490,John P Mackey,Whole Foods Market,0.76,58
491,Joseph W Brown,MBIA,0.7,63
492,Rodney C Sacks,Monster Beverage,0.685,62
493,Jeffry E Sterba,American Water Works,0.68,57
494,John A Thain,CIT Group,0.5,57
495,Warren E Buffett,Berkshire Hathaway,0.49,81
496,Andrew D Mason,Groupon,0.185,32
497,Richard D Fairbank,Capital One Financial,0.16,61
